Thu Nov 28 15:40:51 CST 2013 Mag: new format
Thu Nov 28 2013  15:43:18 Mag: hi server
Thu Nov 28 2013  15:44:08   Mag: formato definitivo
Thu Nov 28 2013  15:48:55   Mag: test
Thu Nov 28 2013  16:11:57   Mag: hi
Thu Nov 28 2013  16:12:50   Mag: exit
Thu Nov 28 2013  16:46:27   Mag: hey server again
Thu Nov 28 2013  16:46:34   Mag: que pasC3?
Thu Nov 28 2013  16:46:46   Mag: no0 acepta acentos la p****e consola de eclipse
Thu Nov 28 2013  16:48:48   Mag: lalala
Thu Nov 28 2013  16:58:27   Mag: hey
Fri Nov 29 2013  00:47:46   Mag: hallo
Fri Nov 29 2013  18:38:07   Mag: haciendo chathistory
Fri Nov 29 2013  18:38:13   Mag: blblabla
Fri Nov 29 2013  18:38:16   Mag: lalala
Fri Nov 29 2013  18:39:00   Oscar: conectado
Fri Nov 29 2013  18:39:09   Oscar: palabras
Fri Nov 29 2013  18:43:28   Mag: hallo
Fri Nov 29 2013  18:43:36   Oscar: qu onda
Fri Nov 29 2013  18:44:05   Mag: bla bla
Fri Nov 29 2013  18:44:18   Mag: nuevo
